,Label,Description,Side,SideNumber,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
0,1,Frontal_L,Left,1,214900.5888262391,29939.955150269,0.817330442926792,1.73560130596161,1.58900105383737,62.9645394690924,144.808603401345,152.197952678966,57.5201950073242,64.3219909667969,99.8321228027344,20,93,73,193,109,194,214915,62.9645394690924,144.808603401345,152.197952678966
1,2,Parietal_L,Left,1,149528.97262865305,29325.096720614,0.745071742590714,1.49928569793701,2.34291025634124,57.3288506677188,88.3602270979477,155.37749349668,52.5649375915527,69.9194641113281,78.8098602294922,15,90,47,130,121,195,299078,57.3288506677188,88.3602270979477,155.37749349668
2,3,Temporal_L,Left,1,140292.5920177698,21119.413956214,0.841081356349847,1.84874093532562,1.47860421691301,44.5999201722,109.79271856424,116.92236746447,45.7759590148926,63.8409805297852,84.6278915405273,12,88,58,158,87,146,420906,44.5999201722,109.79271856424,116.92236746447
3,4,Occipital_L,Left,1,51924.51795625687,13183.5897130613,0.701050797072083,1.40230560302734,2.81726745955424,65.6178940070867,62.9175396703127,122.964065629333,41.396240234375,45.5319442749023,58.050178527832,28,89,39,100,89,155,207712,65.6178940070867,62.9175396703127,122.964065629333
4,5,BrainStem_L,Left,1,9687.350368976593,3996.00854511365,0.88777285443385,2.17258191108704,1.27708552599875,81.708298926507,100.421449215524,100.151011560694,22.865514755249,37.2057800292969,49.6772041320801,40,89,50,120,68,127,48440,81.708298926507,100.421449215524,100.151011560694
5,6,Cerebellum_L,Left,1,69714.32497674227,11692.7488730583,0.748697812899364,1.50849711894989,2.71027112556777,65.566861257333,77.5766146961374,90.4179922259355,38.7306976318359,55.7163047790527,58.4251441955566,32,90,47,151,68,123,418314,65.566861257333,77.5766146961374,90.4179922259355
6,7,Frontal_R,Right,2,215238.56616157293,31005.3981143715,0.838118616302578,1.83322083950043,1.57130577758975,113.33831351944,144.175323921153,152.795477879519,56.9241333007812,63.0820350646973,104.354507446289,86,156,78,192,112,195,1506771,113.33831351944,144.175323921153,152.795477879519
7,8,Parietal_R,Right,2,149510.9738356471,28778.6878989581,0.738596195291234,1.48335361480713,0.639342698131298,120.259849786986,87.8281913577357,154.568696036008,51.8555374145508,71.5604095458984,76.9200973510742,86,161,46,131,123,195,1196168,120.259849786986,87.8281913577357,154.568696036008
8,9,Temporal_R,Right,2,133346.05785042048,21046.52286612,0.854986807467511,1.92808353900909,1.66460958660424,131.934648119681,110.506805144164,116.165783060253,44.5292015075684,61.533763885498,85.8560180664062,88,163,52,159,86,147,1200195,131.934648119681,110.506805144164,116.165783060253
9,10,Occipital_R,Right,2,53965.38109654188,13299.3530452394,0.737967312337991,1.48184049129486,0.374742331149675,111.384998795605,61.8634030647223,126.413126053846,40.1095352172852,47.421989440918,59.4359321594238,87,152,39,100,91,158,539690,111.384998795605,61.8634030647223,126.413126053846
10,11,BrainStem_R,Right,2,12409.16784465313,4079.23274521968,0.953961484868621,3.33412075042725,1.0574489449991,93.2522159548751,101.022965350524,97.6440773569702,16.6645755767822,29.4403915405273,55.5617065429688,79,117,69,120,68,127,136510,93.2522159548751,101.022965350524,97.6440773569702
11,12,Cerebellum_R,Right,2,80702.58810687065,12123.8898511445,0.652169692715884,1.31913423538208,0.0253247232030938,111.076584725182,74.7813227932795,90.5944392129653,42.6556282043457,52.8155975341797,56.268497467041,87,159,46,112,67,123,968496,111.076584725182,74.7813227932795,90.5944392129653
