,Label,Description,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
0,1,BN_STR_Pu_Left,5516.808286976301,2279.17965119208,0.936875460416343,2.85989475250244,1.20770068674393,64.4239622983506,145.362153344209,127.860793909734,12.7867555618286,21.7566509246826,36.568775177002,54,76,124,162,113,140,5517,64.4239622983506,145.362153344209,127.860793909734
1,2,BN_STR_Ca_Left,3336.884040899024,2290.607716484,0.952091411849813,3.26996612548828,1.27908916800134,74.251723104585,147.072819898112,134.583757866347,16.9048671722412,25.4022159576416,55.2783432006836,51,85,111,164,117,149,6674,74.251723104585,147.072819898112,134.583757866347
2,3,BN_STR_NAC_Left,439.984710217432,327.281026723241,0.88613692710234,2.15785336494446,3.12001997329561,79.5045454545455,149.315909090909,119.838636363636,6.02117872238159,8.63239765167236,12.9928207397461,73,85,146,153,116,126,1320,79.5045454545455,149.315909090909,119.838636363636
3,4,EXA_Left,177.99381458796114,243.393985809629,0.871819148616012,2.04153323173523,0.333687840056502,82.0393258426966,143.893258426966,126.606741573034,7.14858722686768,8.22532939910889,14.5940790176392,72,86,141,149,119,134,712,82.0393258426966,143.893258426966,126.606741573034
4,5,BN_GP_GPe_Left,695.9758143439378,534.573436501399,0.942397919593272,2.98959112167358,0.732393706541234,70.2514367816092,141.758620689655,126.456896551724,6.98182058334351,9.32296752929688,20.8727893829346,62,79,133,149,122,131,3480,70.2514367816092,141.758620689655,126.456896551724
5,6,BN_GP_GPi_Left,381.9867256887705,341.9297573652,0.95003977841657,3.2038049697876,0.50034816537365,71.7905759162304,137.785340314136,122.824607329843,4.78305864334106,8.99040126800537,15.3239870071411,65,79,133,142,118,127,2292,71.7905759162304,137.785340314136,122.824607329843
6,7,MTg_SN_SNc_Left,109.996177554358,193.588838138067,0.977869836290474,4.77978992462158,1.82509203785854,80.6818181818182,122.718181818182,114.709090909091,2.56190609931946,9.45261573791504,12.2453727722168,77,85,117,128,111,119,770,80.6818181818182,122.718181818182,114.709090909091
7,8,MTg_RN_Left,303.98943615022574,236.519149988889,0.820093806444593,1.7475517988205,1.66661736724559,83.5197368421053,121.990131578947,118.319078947368,5.98205804824829,7.26406860351562,10.4539566040039,80,87,118,127,114,122,2432,83.5197368421053,121.990131578947,118.319078947368
8,9,MTg_SN_SNr_Left,247.99138212255258,298.647850280177,0.962456675236685,3.6841185092926,1.2412406395845,78.9112903225806,125.91935483871,115.45564516129,3.62433528900146,10.6403589248657,13.3524808883667,74,83,119,132,111,119,2232,78.9112903225806,125.91935483871,115.45564516129
9,10,MTg_VTR_PBP_Left,105.99631655238134,195.664622691468,0.987692267590818,6.39346647262573,1.844667429023,81.2075471698113,123.245283018868,116.405660377358,2.29184198379517,8.82444763183594,14.6528148651123,75,85,117,128,110,121,1060,81.2075471698113,123.245283018868,116.405660377358
10,11,MTg_VTR_VTA_Left,42.998505771249036,79.471117103254,0.978762662437385,4.87812662124634,1.89037730875048,84.7906976744186,120.209302325581,112.302325581395,2.23386573791504,4.02367067337036,10.8970804214478,83,87,116,125,109,116,473,84.7906976744186,120.209302325581,112.302325581395
11,12,BN_GP_VeP_Left,115.99596905732298,154.562719858645,0.972206626516745,4.27123165130615,0.15491535958614,77.8275862068966,144.224137931034,119.879310344828,2.75033831596375,6.01944160461426,11.747332572937,72,83,142,147,118,122,1392,77.8275862068966,144.224137931034,119.879310344828
12,13,THM_ETH_HN_Left,51.99819302569651,82.6770214928051,0.955388353456197,3.38578486442566,1.09553910812252,84.8076923076923,119.019230769231,129.442307692308,3.03371477127075,3.1420738697052,10.271505355835,83,87,117,123,126,134,676,84.8076923076923,119.019230769231,129.442307692308
13,14,Die_HTH_Left,706.9754320993737,614.374253466258,0.88464037223087,2.14466190338135,1.58610754610228,84.4356435643564,136.473833097595,118.932107496464,7.23912858963013,11.70592212677,15.5254831314087,79,87,128,145,112,127,9898,84.4356435643564,136.473833097595,118.932107496464
14,15,Die_HTH_MN_Left,49.99826252470818,69.3831721934856,0.694066281921237,1.38906049728394,1.78390931107822,86.82,132.34,115.08,3.68373417854309,4.47400665283203,5.11692953109741,85,88,130,134,113,117,750,86.82,132.34,115.08
15,16,Die_STH_Left,169.99409258400783,184.722606218545,0.948119052107366,3.14549016952515,0.728596250837292,78.2352941176471,129.358823529412,119.764705882353,3.70122265815735,6.29565477371216,11.6421594619751,74,83,124,134,118,123,2720,78.2352941176471,129.358823529412,119.764705882353
16,17,BN_STR_Pu_Right,5700.801893067227,2288.98485131764,0.944991360966005,3.057213306427,1.91893169492936,112.806875986669,142.577793369584,128.321522539905,12.5918750762939,21.3465671539307,38.4960479736328,101,123,120,161,113,141,96917,112.806875986669,142.577793369584,128.321522539905
17,18,BN_STR_Ca_Right,3082.8928672735065,2150.79750036099,0.953962243908819,3.33414745330811,1.89302407764614,102.840090820629,145.8410638988,134.469672397016,16.8320140838623,24.9730110168457,56.120418548584,93,126,108,163,119,148,55494,102.840090820629,145.8410638988,134.469672397016
18,19,BN_STR_NAC_Right,377.98686468679387,291.416248222813,0.846839095002042,1.88023233413696,3.02013731685567,97.7989417989418,148.089947089947,120.547619047619,6.54913187026978,7.20434474945068,12.313889503479,93,104,145,152,117,126,7182,97.7989417989418,148.089947089947,120.547619047619
19,20,EXA_Right,179.99374508894945,234.916834186097,0.87703048404088,2.08144807815552,2.8459862039557,95.6777777777778,143.072222222222,127.35,7.26916170120239,8.12906265258789,15.1303834915161,92,106,140,148,120,134,3600,95.6777777777778,143.072222222222,127.35
20,21,BN_GP_GPe_Right,673.9765788330662,532.253951887493,0.959634019632449,3.55553340911865,2.35441929126183,107.051928783383,139.864985163205,126.83234421365,6.11229848861694,9.51398658752441,21.7324810028076,98,116,130,147,122,131,14154,107.051928783383,139.864985163205,126.83234421365
21,22,BN_GP_GPi_Right,425.9851967105137,355.845699704685,0.952119648730368,3.27090644836426,2.56522945470842,105.669014084507,136.18779342723,122.943661971831,4.86235857009888,8.93639183044434,15.9043197631836,99,113,130,141,118,127,9372,105.669014084507,136.18779342723,122.943661971831
22,23,MTg_SN_SNc_Right,107.99624705336967,178.382466758689,0.98131657366469,5.19750356674194,1.17321486890064,97.2222222222222,121.444444444444,114.925925925926,2.30430889129639,8.49991512298584,11.9766540527344,95,100,116,126,110,119,2484,97.2222222222222,121.444444444444,114.925925925926
23,24,MTg_RN_Right,269.99061763342416,218.92140078899,0.816148351199975,1.73057568073273,1.62503091826396,94.0592592592593,121.303703703704,118.274074074074,5.80251789093018,6.90934658050537,10.0416965484619,90,97,117,127,114,122,6480,94.0592592592593,121.303703703704,118.274074074074
24,25,MTg_SN_SNr_Right,258.9909998779884,293.103633933707,0.957836960184124,3.48053336143494,1.8165875256306,98.7413127413127,124.72972972973,115.525096525097,3.74512887001038,10.1831350326538,13.0350456237793,95,102,118,131,111,120,6475,98.7413127413127,124.72972972973,115.525096525097
25,26,MTg_VTR_PBP_Right,74.99739378706226,145.353391205648,0.983835835041941,5.58432245254517,1.41757043473452,95.9733333333333,122.626666666667,116.293333333333,2.29098963737488,7.70041561126709,12.7936248779297,93,99,117,127,112,120,1950,95.9733333333333,122.626666666667,116.293333333333
26,27,MTg_VTR_VTA_Right,37.99867951877822,61.6562413614575,0.914841651246508,2.47639513015747,1.23091042661439,93.2894736842105,119.736842105263,112.421052631579,2.65821313858032,3.90677356719971,6.58278608322144,92,95,117,122,110,114,1026,93.2894736842105,119.736842105263,112.421052631579
27,28,BN_GP_VeP_Right,108.99621230386384,139.074004237975,0.957747698594086,3.47693419456482,3.00809698067909,100.073394495413,143.321100917431,120.807339449541,3.11222982406616,5.41404151916504,10.8210182189941,95,106,141,146,119,123,3052,100.073394495413,143.321100917431,120.807339449541
28,29,THM_ETH_HN_Right,90.99683779496888,116.264659471132,0.927864559443945,2.68155932426453,2.03588895540314,92.2307692307692,118.516483516484,129.373626373626,3.68746471405029,4.34737396240234,9.88815498352051,90,95,116,123,126,133,2639,92.2307692307692,118.516483516484,129.373626373626
29,30,Die_HTH_Right,766.9733471290235,608.047515933977,0.864449503094584,1.9891802072525,1.59432544083058,93.3402868318123,136.392438070404,119.212516297262,7.78176069259644,11.4256258010864,15.4793243408203,90,99,128,144,112,126,23010,93.3402868318123,136.392438070404,119.212516297262
30,31,Die_HTH_MN_Right,69.99756753459145,84.6516052032403,0.609914051104645,1.26188135147095,0.0633791992342035,91.0571428571429,132.1,115.185714285714,4.15927457809448,5.05860567092896,5.24851083755493,89,94,130,134,113,117,2170,91.0571428571429,132.1,115.185714285714
31,32,Die_STH_Right,135.99527406720625,150.408617837833,0.934674396182215,2.81290030479431,2.37524875941494,98.8382352941177,128.705882352941,119.75,3.50207328796387,6.10758638381958,9.85098266601562,95,103,124,133,118,122,4352,98.8382352941177,128.705882352941,119.75
32,33,ReferenceRegion_Left,121.99576056028796,230.524634368049,0.980137521058442,5.04238033294678,2.21549263412778,79.9672131147541,120.844262295082,113.975409836066,6.41925477981567,9.81372165679932,32.3683242797852,73,88,108,129,109,119,4026,79.9672131147541,120.844262295082,113.975409836066
